horizon,x_e_x,x_e_pi,x_e_i,pi_e_x,pi_e_pi,pi_e_i,i_e_x,i_e_pi,i_e_i
0,0.00399727838858,-0.0014402053367,-0.00306547961982,0.000212484029619,0.00235704187662,-0.000878982099856,0.000156226433192,0.000224387447377,0.000477609080701
1,-0.000657862568214,-0.000944885570198,-0.00201119061616,-0.000188632610012,-0.000270932319121,-0.000576679922963,0.000102496566736,0.000147215439186,0.000313348324056
2,-0.000431608488068,-0.000619917672862,-0.00131949586889,-0.00012375751341,-0.000177752458149,-0.000378346423212,6.72456381297e-05,9.65846609878e-05,0.000205580622639
3,-0.000283168394089,-0.000406713715658,-0.000865690866909,-8.11944558494e-05,-0.000116619296216,-0.000248224379344,4.41183152906e-05,6.33669728507e-05,0.000134876714378
4,-0.000185780265281,-0.000266835506948,-0.000567959850969,-5.32698135171e-05,-7.6511235859e-05,-0.000162854301562,2.89450111295e-05,4.15736122816e-05,8.84895076588e-05
5,-0.000121886155688,-0.000175064633985,-0.000372625384699,-3.49490984632e-05,-5.01972606816e-05,-0.000106844958611,1.89901555345e-05,2.72754900603e-05,5.80559290889e-05
6,-7.99667011239e-05,-0.000114855876651,-0.000244470937665,-2.29292990297e-05,-3.29332672731e-05,-7.00985179457e-05,1.24590039234e-05,1.78948211907e-05,3.80891587212e-05
7,-5.24643119027e-05,-7.53542968735e-05,-0.000160391754874,-1.50433852979e-05,-2.16067585871e-05,-4.59900240691e-05,8.17406568793e-06,1.17403802733e-05,2.49894202859e-05
8,-3.44206273953e-05,-4.94382196441e-05,-0.000105229338413,-9.86961881941e-06,-1.41756969562e-05,-3.01729961754e-05,5.36281634401e-06,7.70259325262e-06,1.63949834333e-05
9,-2.25825813266e-05,-3.24352779203e-05,-6.90385467228e-05,-6.47522972468e-06,-9.30034847122e-06,-1.97958082569e-05,3.51842035991e-06,5.05349413175e-06,1.07563712445e-05
10,-1.48159117937e-05,-2.12800392356e-05,-4.52946013486e-05,-4.248249173e-06,-6.10174455292e-06,-1.29875741297e-05,2.30835460976e-06,3.31548117654e-06,7.05700757915e-06
11,-9.72037868944e-06,-1.39613439102e-05,-2.9716745336e-05,-2.78717849455e-06,-4.00321414883e-06,-8.52084843345e-06,1.51445832486e-06,2.17521088289e-06,4.62994023172e-06
12,-6.37731671067e-06,-9.15971637184e-06,-1.94964725833e-05,-1.82860365391e-06,-2.6264166555e-06,-5.59033252097e-06,9.93601246547e-07,1.42710579041e-06,3.03759721226e-06
13,-4.1840106983e-06,-6.00947906964e-06,-1.27911868845e-05,-1.19970476582e-06,-1.72313151179e-06,-3.66768848656e-06,6.51878906758e-07,9.3629125941e-07,1.99289761037e-06
14,-2.74503310997e-06,-3.94268088906e-06,-8.39200328239e-06,-7.8709868158e-07,-1.13050692117e-06,-2.40628599174e-06,4.27682745521e-07,6.14279143381e-07,1.30749424887e-06
15,-1.80095303721e-06,-2.58670217714e-06,-5.50580018317e-06,-5.1639732724e-07,-7.41699568532e-07,-1.57870885035e-06,2.80592804768e-07,4.03014406255e-07,8.57816880269e-07
16,-1.18156383267e-06,-1.6970757567e-06,-3.61222876552e-06,-3.38796399767e-07,-4.86612014184e-07,-1.03575453738e-06,1.84090480413e-07,2.64408475201e-07,5.62793909581e-07
17,-7.75196832918e-07,-1.11341234002e-06,-2.36990014537e-06,-2.22276519339e-07,-3.19254941481e-07,-6.79534710573e-07,1.20777526732e-07,1.73472314322e-07,3.69236129466e-07
18,-5.08588798294e-07,-7.30484207328e-07,-1.55483693409e-06,-1.45830507891e-07,-2.09455818371e-07,-4.45827081812e-07,7.9239355185e-08,1.13811192373e-07,2.42247325322e-07
19,-3.33673403665e-07,-4.79253873857e-07,-1.02009272261e-06,-9.56760394437e-08,-1.37419141097e-07,-2.92496886155e-07,5.19871169741e-08,7.46689035654e-08,1.58932894e-07
