horizon,variable,cond_mean,cond_inf,cond_sup,uncond_mean
1,x,0,0,0,0
2,x,-0.0162683473601,-0.0226203484779,-0.0100568520743,-0.000163281410967
3,x,-0.0158733719166,-0.0225757056774,-0.00924837627679,-9.07420839523e-05
4,x,-0.0159507861271,-0.0225020353821,-0.00937781711831,-1.03125860261e-05
5,x,-0.0161317371756,-0.022544508811,-0.00961978216942,5.38113717347e-05
6,x,-0.0104300820324,-0.0158134665848,-0.00501096979877,5.67922610607e-05
7,x,-0.00696514290498,-0.0126060410082,-0.00140933258672,-7.70859567122e-05
8,x,-0.00462216478554,-0.0106091589749,0.00121646147587,-0.000126829472717
9,x,-0.00285998927258,-0.00875455239165,0.00297554404192,-1.40524796525e-05
1,pi,0,0,0,0
2,pi,-0.00457616630757,-0.00823841715435,-0.000897411908384,1.68738631955e-05
3,pi,-0.00451666532346,-0.00830751185958,-0.000881758328406,8.24338144327e-05
4,pi,-0.00459363101404,-0.00810048526589,-0.00115898512358,-6.41905564631e-06
5,pi,-0.00468302909606,-0.00829811006856,-0.00105107201385,4.11480215365e-05
6,pi,-0.00296561652427,-0.00601471216498,7.95263267775e-05,1.00195644796e-05
7,pi,-0.00195572819531,-0.00495381149298,0.000998717557162,-8.86859178705e-05
8,pi,-0.00129344974606,-0.00436863988732,0.00172748944073,-1.65117054573e-05
9,pi,-0.000942872753667,-0.00405138588373,0.00206300110823,-6.06305444374e-05
1,i,0,0,0,0
2,i,0.0025,0.0025,0.0025,-3.43439460035e-06
3,i,0.0025,0.0025,0.0025,3.30915162029e-06
4,i,0.0025,0.0025,0.0025,2.01090657895e-06
5,i,0.0025,0.0025,0.0025,8.39733371549e-06
6,i,0.00164950706681,0.00130517266141,0.00200038495387,1.08709410357e-05
7,i,0.00108571763562,0.000656728866654,0.00152055945156,-2.61412284922e-06
8,i,0.000712674225326,0.000277356438384,0.00115777300611,-8.52552667787e-06
9,i,0.000462717324106,1.02612797797e-05,0.000938237586381,-1.54194438075e-05
