horizon,variable,cond_mean,cond_inf,cond_sup,uncond_mean
1,x,0,0,0,0
2,x,-0.00675283024009,-0.0199426089085,0.00622110434624,-0.000114665432851
3,x,-0.00651035048674,-0.0191773887689,0.00615121178727,3.77949974866e-05
4,x,-0.00658612495222,-0.0195340132599,0.00586122401762,-4.19443649634e-05
5,x,-0.00676458773952,-0.0195785508628,0.00632819589879,1.42224250325e-05
6,x,-0.00448919547781,-0.0142809648218,0.00556561483887,-6.09500304608e-05
7,x,-0.00299432408394,-0.0105982992788,0.00464899501695,-2.08779944624e-06
8,x,-0.00188488913738,-0.00839257717809,0.00466153274476,-0.000135429335304
9,x,-0.00117210485091,-0.00737252943609,0.00501815091659,-2.93466613004e-05
1,pi,0,0,0,0
2,pi,-0.0019233,-0.0019233,-0.0019233,5.58218481334e-05
3,pi,-0.0019233,-0.0019233,-0.0019233,-5.21024226468e-06
4,pi,-0.0019233,-0.0019233,-0.0019233,-4.98661059407e-05
5,pi,-0.0019233,-0.0019233,-0.0019233,6.93465676038e-05
6,pi,-0.00113963402779,-0.00505531942465,0.00269288695889,-0.000123553217958
7,pi,-0.000840105650409,-0.00431635040107,0.00283524219619,3.40265963695e-05
8,pi,-0.000507058879785,-0.00383872967825,0.00275089035092,-2.0227151697e-05
9,pi,-0.000390174567735,-0.00340125762707,0.00280570366847,1.90010048768e-07
1,i,0,0,0,0
2,i,0.00104920837871,-0.000882450552921,0.00296013303361,2.65962252136e-06
3,i,0.00103268924156,-0.000878577613473,0.00296784320664,3.12886158474e-06
4,i,0.00100320489957,-0.000920784014894,0.0029143851108,-4.21074097515e-06
5,i,0.00104412252277,-0.000912835605867,0.00295065207166,4.53340615442e-06
6,i,0.000695942179439,-0.000643995924756,0.00199266462769,-1.20236307543e-05
7,i,0.000454513825959,-0.000475507754071,0.00138808315434,-7.37561039257e-06
8,i,0.000303966726916,-0.000378429198895,0.00101038247566,-1.36851105249e-05
9,i,0.000200310025736,-0.000391965334635,0.000769865525415,-1.37283244727e-05
