period,x,pi,i
1,0.0136230320753,-0.00242611677773,0.00107295204127
2,0.00913007640665,0.00261194822227,-0.000889930441893
3,0.000447547055889,0.00560881622227,0.00262382676318
4,-0.00692634458453,-0.00942007177773,0.00579122055911
5,-0.011855570599,-0.00342207177773,0.00386261656872
6,-0.0147828569199,-0.00341807577773,0.000581240612242
7,-0.0153799870929,0.00866305622227,-0.00211705661332
8,-0.0141797358582,-0.00345803577773,-0.00265999244594
9,-0.0135805412186,0.0136990242223,-0.00321352652218
10,-0.0157269955698,-0.0124130717777,-0.00327184640065
11,-0.0200061680342,-0.00441707577773,-0.00327184640065
12,-0.0223324931136,-0.0153960897777,-0.00350522731986
13,-0.0180109719785,-0.00542507177773,-0.00563410559661
14,-0.0099696564289,0.00563900822227,-0.00573048555096
15,-0.00158196604671,-0.000403063777733,-0.00557866262554
16,0.00132229855408,-0.00543210777773,-0.00478116797332
17,-0.000524116939455,-0.00543805377773,-0.00362197868028
18,0.00131927905472,0.00865803622227,-0.00238841483083
19,0.00630526897395,0.0116911082223,-0.00104965219241
20,0.00885019028618,-0.00743604177773,0.000665913922783
21,0.0103853781289,-0.00141807777773,0.00132267294757
22,0.0146002130693,0.00664300022227,0.00210625870553
23,0.019310645772,0.000597928222267,0.00270985461729
24,0.0239831997881,-0.0114160657777,0.00279717596321
25,0.0248077275112,-0.00241909577773,0.00227047967539
26,0.0231257129117,0.0137272522223,0.00219517020536
27,0.0217676805974,0.0259472592223,0.00312323909833
28,0.0254498704187,0.00866204822227,0.00409463054542
29,0.0284302396173,0.00461492822227,0.00512816408373
30,0.0218202294117,0.0238716482223,0.00545985466554
31,0.00654953116863,0.0239030172223,0.00830118858191
32,-0.0115928132555,-0.0115219637777,0.00993891718752
33,-0.0279803581205,-0.0154329437777,0.00340764024163
34,-0.0397258600528,-0.00942605377773,-0.00649999173087
35,-0.0435410884811,-0.00548091177773,-0.00876130396489
36,-0.0429962940072,-0.0154020717777,-0.00882940116115
37,-0.0387709452771,0.00160594322227,-0.00882940116115
38,-0.0261838718283,0.00160292822227,-0.0086286014272
39,-0.0145983000739,0.00159690422227,-0.00575986400677
40,-0.00887783935835,-0.00441407077773,-0.00295591156368
41,-0.00652059264103,0.00562897622227,-0.00157288101158
42,-0.0047140182402,0.00160895222227,0.00159208847543
43,-0.0019635668986,0.000599938222267,0.00279717596321
44,0.00604922347475,0.00664601822227,0.00279717596321
45,0.0158185208554,-0.000403063777733,0.00227858892363
46,0.022955744101,-0.00942007177773,0.00219517020536
47,0.024703138651,0.00259892822227,0.00219517020536
48,0.023697634985,-0.00644707177773,0.00219517020536
49,0.0228189708839,-0.000403063777733,0.00219517020536
50,0.0220596902935,-0.00644707177773,0.00219517020536
51,0.0202828523511,0.00261395822227,0.00219517020536
52,0.0172103785013,0.00361695222227,0.00144601945319
53,0.0137792455118,0.00764900822227,0.000594158815436
54,0.0106822266306,0.00260994622227,-0.000223657674709
55,0.00687132121845,0.00562897622227,-0.00112540091496
56,0.00665875470632,-0.00145707177773,-0.00254169778021
57,0.00739283182332,0.00361695222227,-0.00265999244594
58,0.00720117798523,0.00563498822227,-0.00265999244594
59,0.00443446304227,0.00866606822227,-0.00265999244594
60,0.00390534299237,-0.00341707177773,-0.00206893529785
61,0.00387367764259,0.00462998822227,-0.00143961822596
62,0.000845629104675,0.00160895222227,-0.00143961822596
63,-0.00266520898371,-0.00341307177773,-0.00143961822596
64,-0.00782975861916,-0.00642107577773,-0.00143961822596
65,-0.0115028320692,0.00362096822227,-0.00203018350968
66,-0.00717402139348,-0.00842707977773,-0.0034827429941
67,0.00167922030964,-0.00542107977773,-0.00388481789804
68,0.00893861964877,0.000595934222267,-0.00388481789804
69,0.0150072815145,-0.000407071777733,-0.00388481789804
70,0.0184157157655,-0.000402062777733,-0.00388481789804
71,0.018507410712,0.00160895222227,-0.00388481789804
72,0.0201768237862,-0.00442107177773,-0.00340027992777
73,0.0208251709568,-0.00141207177773,-0.00286381988617
74,0.0210564097628,0.00160092822227,-0.00295591156368
75,0.0103677134228,-0.00341307177773,-0.00420682521868
76,-0.0167489199507,0.00259993622227,-0.00556405631187
77,-0.0515862325327,0.00563700022227,-0.00604873642122
78,-0.100320725413,-0.00941607177773,-0.00882940116115
79,-0.0965340629883,0.000595934222267,-0.00882940116115
80,-0.0588106541895,0.00159390722227,-0.00882940116115
81,-0.0216238650206,0.00563298422227,-0.00882940116115
82,0.0040559634268,0.000601940222267,-0.00882940116115
83,0.0257795768128,0.0167593122223,-0.00769302512045
84,0.0346960614815,0.0187924482223,-0.00307435228224
85,0.0290187041106,0.0269046122223,0.00249630730082
86,0.0197287510644,0.0279864402223,0.00922576182596
87,0.00916194436963,0.0279864402223,0.0137963982501
88,0.00200566116974,0.0106780782223,0.0168012767247
89,-0.000563753169248,0.0106518402223,0.0169337222272
90,-0.000764720448804,-0.00542207777773,0.0169337222272
91,0.000394878063006,0.00462195622227,0.014917696568
92,0.000960255754594,-0.00144421177773,0.0118475556531
93,0.00179054300171,0.00967709622227,0.00840237731604
94,0.000718602451594,-0.000410086777733,0.00530046976328
95,0.00461535149415,0.00361394922227,0.00384073818289
96,0.00945778788189,0.00257888822227,0.00284567806505
97,0.0124534800481,0.0127021482223,0.00219517020536
98,0.0109147479186,-0.00742908777773,0.00219517020536
99,0.00611890254667,0.00561892822227,0.00178674880514
100,0.00178198665133,-0.00642307177773,0.00150445465531
101,-0.0026488022847,0.00662292822227,0.000987926275471
