horizon,variable,mean,hpd_inf,hpd_sup
1,x,-0.00416011364727,-0.0127778895705,0.00445766227592
2,x,-0.00272935480486,-0.0121525245355,0.00669381492582
3,x,-0.00179066686211,-0.0115400466289,0.00795871290472
4,x,-0.00117481530996,-0.0110612948938,0.00871166427387
5,x,-0.00077076928251,-0.0107156798545,0.00917414128944
6,x,-0.000505683984386,-0.010475639992,0.00946427202318
7,x,-0.000331767622125,-0.0103124847637,0.00964894951944
8,x,-0.000217665100119,-0.0102030106617,0.00976768046147
1,pi,-0.00119285263085,-0.00534538502301,0.00295967976131
2,pi,-0.000782603153553,-0.00507656961996,0.00351136331285
3,pi,-0.000513447914781,-0.00486687849913,0.00383998266957
4,pi,-0.000336861358144,-0.00471563890397,0.00404191618769
5,pi,-0.000221006983072,-0.00461064974143,0.00416863577529
6,pi,-0.000144997594368,-0.00453930887175,0.00424931368301
7,pi,-9.51295840539e-05,-0.00449144883856,0.00430118967045
8,pi,-6.24123303679e-05,-0.00445959561025,0.00433477094951
1,i,0.000648155688864,-0.000257062211786,0.00155337358951
2,i,0.000425240027963,-0.000657408530527,0.00150788858645
3,i,0.000278990194006,-0.000871638621844,0.00142961900985
4,i,0.000183039044382,-0.000995644581079,0.00136172266984
5,i,0.000120087703755,-0.00107046824449,0.001310643652
6,i,7.87867782079e-05,-0.00111684316465,0.00127441672107
7,i,5.16901916374e-05,-0.00114611716929,0.00124949755256
8,i,3.39127449083e-05,-0.00116483063973,0.00123265612955
