variable,period,e_x,e_pi,e_i,initial,smoothed
x,1,0.02306358885,0.001717748447,-0.002013981262,-0.002185908198,0.02058144783
x,2,0.00524277615,0.002463512287,0.01165821497,-0.001093774798,0.01827072861
x,3,0.01167698486,-1.462284826e-05,-0.007233041315,-0.0004766616385,0.003952659058
x,4,0.02556962261,0.001266584915,-0.02849686049,-0.0001616039681,-0.001822256934
x,5,0.007305646408,0.001030336349,-0.01386394886,-2.02097264e-05,-0.005548175834
x,6,-0.01315868012,0.0005597594562,0.002966718582,3.079668885e-05,-0.009601405391
x,7,-0.02659666735,-0.002739079367,0.01826210873,4.013310949e-05,-0.01103350488
x,8,-0.01898597771,-0.0005706973201,0.01052342777,3.36330926e-05,-0.008999614168
x,9,-0.01999462951,-0.002732226632,0.01528281495,2.350571389e-05,-0.007420535478
x,10,-0.01372473313,0.003790058035,0.0003585499664,1.460319268e-05,-0.00956152194
x,11,-0.01899678331,0.009001490972,-0.00581560864,8.219394032e-06,-0.01580268158
x,12,-0.0223478293,0.01464894463,-0.01564086455,4.177677097e-06,-0.02333557154
x,13,-0.02743589825,0.01655776895,-0.004675667439,1.862984294e-06,-0.01555193376
x,14,-0.02279003251,0.01256176138,0.0005727477324,6.633811757e-07,-0.00965486002
x,15,-0.00952714863,0.01145133668,0.001077862135,1.13575555e-07,0.003002163757
x,16,-0.003706719503,0.01419774881,-0.004580146705,-9.30875348e-08,0.005910789511
x,17,-0.009856152103,0.01605916475,-0.01229585351,-1.384576353e-07,-0.006092979316
x,18,-0.004373798032,0.01068986963,-0.00898119983,-1.203324844e-07,-0.002665248564
x,19,0.009191080022,0.003180347105,-0.003921338613,-8.577504882e-08,0.008450002739
x,20,0.01728661979,0.004654428492,-0.01426293353,-5.407238847e-08,0.00767806068
x,21,0.01182721396,0.005556613953,-0.01320087297,-3.084672883e-08,0.004182924093
x,22,0.01810381967,0.001448710151,-0.007059988355,-1.59177253e-08,0.01249252554
x,23,0.02028627229,-0.0004733778076,-0.00573771093,-7.252101928e-09,0.0140751763
x,24,0.02752826713,0.004135323149,-0.008080411815,-2.695040732e-09,0.02358317577
x,25,0.01828036822,0.005822370211,-0.001585655182,-5.647943294e-10,0.02251708269
x,26,0.01286411785,-0.0007484915987,0.009586981872,2.656155643e-10,0.02170260838
x,27,0.009466075938,-0.01267861034,0.0170637454,4.73723236e-10,0.01385121147
x,28,0.02573044871,-0.01559526607,0.01205076957,4.289855624e-10,0.02218595265
x,29,0.0385517496,-0.01277122009,0.007246625112,3.122830605e-10,0.03302715494
x,30,0.02520563693,-0.01804733264,0.01707126098,1.998394714e-10,0.02422956546
x,31,0.02510828209,-0.02638153428,0.007696844832,1.155455228e-10,0.006423592757
x,32,0.02594300921,-0.02041190687,-0.01671624708,6.05082269e-11,-0.01118514468
x,33,-0.02051092476,-0.009220313929,0.004115587951,2.812699379e-11,-0.02561565071
x,34,-0.07866681921,-0.0004740860847,0.0380406363,1.085382478e-11,-0.04110026898
x,35,-0.07118138661,0.005816328584,0.02636079849,2.627370543e-12,-0.03900425954
x,36,-0.05355534731,0.01467003617,0.002118237391,-6.856806789e-13,-0.03676707375
x,37,-0.05451439432,0.01556617805,-0.004782053888,-1.604917588e-12,-0.04373027016
x,38,-0.02914577557,0.01389768855,-0.005499815384,-1.523385584e-12,-0.02074790241
x,39,-0.004263821673,0.01286234874,-0.01669192403,-1.134207311e-12,-0.008093396965
x,40,0.006899496474,0.0134129632,-0.02723532215,-7.371533939e-13,-0.006922862473
x,41,0.005552127367,0.009476140564,-0.02107520875,-4.319895136e-13,-0.006046940816
x,42,0.02010729314,0.005144559594,-0.02774271053,-2.294926402e-13,-0.002490857794
x,43,0.01575783355,0.00180953491,-0.02430841514,-1.087255286e-13,-0.006741046673
x,44,0.01813735226,-0.002939624938,-0.01093661776,-4.337849524e-14,0.00426110956
x,45,0.02028405652,-0.003545323408,-0.002447469245,-1.171111819e-14,0.01429126387
x,46,0.02444252961,0.001675749115,-0.003511585111,1.42247325e-15,0.02260669362
x,47,0.01687504897,0.00221594573,0.00152798447,5.381112222e-15,0.02061897917
x,48,0.01451126967,0.00401769066,-0.001356326521,5.39499001e-15,0.01717263381
x,49,0.0125428691,0.004132123551,-1.723856328e-05,4.118233532e-15,0.01665775409
x,50,0.01376319903,0.005417845834,-0.002746029122,2.723515857e-15,0.01643501575
x,51,0.0104717222,0.003541784749,0.0004071668523,1.608088662e-15,0.0144206738
x,52,0.003645934066,0.0005217994356,0.006084008931,8.708311849e-16,0.01025174243
x,53,-0.003304180889,-0.002777203652,0.01188804662,4.154662725e-16,0.005806662082
x,54,-0.00285926911,-0.002876202627,0.01262244276,1.734723476e-16,0.006886971021
x,55,-0.01451468551,-0.002793102697,0.01340917393,4.683753385e-17,-0.003898614277
x,56,-0.01302078919,0.0003702457989,0.01324106217,-5.204170428e-18,0.0005905187851
x,57,-0.01107966871,0.00223526684,0.01001327204,-1.908195824e-17,0.001168870175
x,58,-0.006357146927,0.002176622821,0.009214865668,-1.82145965e-17,0.005034341562
x,59,-0.0141720406,0.0004991497684,0.008956201909,-1.214306433e-17,-0.004716688924
x,60,-0.004678014039,0.003330566855,-0.0006331639245,-1.691355389e-17,-0.001980611108
x,61,0.0006742556623,0.003707305781,-0.001466607014,-7.806255642e-18,0.002914954429
x,62,-0.006762597988,0.003295582735,-0.001761210623,-7.806255642e-18,-0.005228225876
x,63,-0.004284438896,0.005165205625,-0.004357451534,-1.734723476e-18,-0.003476684805
x,64,-0.007974840554,0.007994647057,-0.00841760023,-3.469446952e-18,-0.008397793727
x,65,-0.02108037981,0.005892581068,-0.003769184874,3.469446952e-18,-0.01895698362
x,66,-0.01623797427,0.0080952548,-0.001595946365,-3.469446952e-18,-0.009738665831
x,67,-0.005610594194,0.01152485301,-0.0009314975331,1.734723476e-18,0.004982761278
x,68,-0.005092673309,0.01172414733,0.001485346213,-5.204170428e-18,0.008116820239
x,69,0.0009534484736,0.0119269645,0.003734494804,0,0.01661490778
x,70,0.004670769581,0.01290167385,0.006192645555,-3.469446952e-18,0.02376508898
x,71,-0.003275838909,0.01292314555,0.007679001245,6.938893904e-18,0.01732630789
x,72,0.00716207405,0.01504651743,0.003996693363,0,0.02620528485
x,73,0.001595382867,0.01583016207,0.001741018248,-3.469446952e-18,0.01916656318
x,74,0.007618453991,0.01461429262,0.006756786853,0,0.02898953347
x,75,-0.003936363117,0.01569664595,0.01207874268,-3.469446952e-18,0.02383902552
x,76,-0.04672042312,0.01413284216,0.01240531936,6.938893904e-18,-0.02018226159
x,77,-0.02695466768,0.01097921287,0.01303442946,-6.938893904e-18,-0.002941025354
x,78,-0.1458840926,0.01091039545,-0.006659734234,2.775557562e-17,-0.1416334314
x,79,-0.08651352103,0.00779328533,-0.01893987947,5.551115123e-17,-0.09766011517
