horizon,x_e_x,x_e_pi,x_e_i,pi_e_x,pi_e_pi,pi_e_i,i_e_x,i_e_pi,i_e_i
0,0.00400044193522,-0.00147579103139,-0.00341071258568,0.000216048043384,0.00338021575215,-0.000745150005106,0.000156741729508,0.000341220943592,0.000481668136725
1,-0.000774651888683,-0.00222900035909,-0.00211775801726,-6.81644465896e-05,0.00109443027129,-0.000811286431702,0.000113023417748,0.000371506300546,0.000286570248643
2,-0.000516825612804,-0.00194465854451,-0.00119135446707,-0.000144802858132,8.7164485966e-05,-0.000639833301545,7.18433787619e-05,0.000292994056766,0.000154631745188
3,-0.000309598341189,-0.00138898699017,-0.000605168480777,-0.000135383892853,-0.000262677497571,-0.000431554241102,4.12922600094e-05,0.000197618391399,7.47263934433e-05
4,-0.000168216869778,-0.000876898069639,-0.000269634773202,-0.000100089211401,-0.000314470529133,-0.000260807314132,2.14841218131e-05,0.000119429533938,3.08366550872e-05
5,-8.19934109876e-05,-0.000500910357765,-9.58424281868e-05,-6.47393369774e-05,-0.000256558177936,-0.000142955689928,9.89972670488e-06,6.54626250752e-05,9.15856614229e-06
6,-3.43100555698e-05,-0.000258864073442,-1.62524329637e-05,-3.77836287129e-05,-0.000176583659248,-7.04314290808e-05,3.75897371564e-06,3.22521351739e-05,-1.0368084865e-07
7,-1.05659308892e-05,-0.000118179559264,1.36192393549e-05,-1.9985150965e-05,-0.000108432379004,-2.99753531673e-05,8.58110904688e-07,1.37263882737e-05,-3.10522077304e-06
8,-2.93747047051e-07,-4.40911781312e-05,2.01381118469e-05,-9.41407293745e-06,-6.03619928595e-05,-9.62409326504e-06,-2.93879515652e-07,4.4070887239e-06,-3.34695211778e-06
9,3.1323408578e-06,-9.39224583512e-06,1.74757336127e-05,-3.7199674205e-06,-3.02918435722e-05,-6.84573883612e-07,-6.00329808607e-07,3.13481775379e-07,-2.62945872548e-06
10,3.50632912023e-06,4.17985216464e-06,1.24471714606e-05,-9.74318071043e-07,-1.32586162244e-05,2.39910342661e-06,-5.57594645675e-07,-1.09860340789e-06,-1.76930378421e-06
11,2.79412054537e-06,7.61952529188e-06,7.84216198666e-06,1.54613929184e-07,-4.53827653513e-06,2.83570568977e-06,-4.10941343522e-07,-1.29853340211e-06,-1.06722848442e-06
12,1.89650776468e-06,6.93013824715e-06,4.47139073446e-06,4.86671437173e-07,-6.09146357379e-07,2.30354276778e-06,-2.65234371987e-07,-1.05484403334e-06,-5.83874494335e-07
13,1.15192333793e-06,5.05573494005e-06,2.30601808849e-06,4.79350054766e-07,8.19559273765e-07,1.58149815163e-06,-1.54510435575e-07,-7.24203566921e-07,-2.87005951824e-07
14,6.34525720454e-07,3.24020773034e-06,1.04977306108e-06,3.62887181899e-07,1.09132364279e-06,9.69239075593e-07,-8.15652931179e-08,-4.43836368079e-07,-1.21712690261e-07
15,3.14480797525e-07,1.87595731712e-06,3.89511518894e-07,2.38479629811e-07,9.20414045137e-07,5.38548851921e-07,-3.83221821081e-08,-2.4661362969e-07,-3.87432242497e-08
16,1.35077039247e-07,9.83800832959e-07,8.10952570599e-08,1.41081576169e-07,6.45542854469e-07,2.69673037585e-07,-1.50740342032e-08,-1.23489348071e-07,-2.41526552909e-09
17,4.4317003153e-08,4.581957151e-07,-3.89704327011e-08,7.56860018912e-08,4.02115769788e-07,1.17650424232e-07,-3.89110664419e-09,-5.38747748713e-08,1.00287671093e-08
18,4.11727555794e-09,1.77430391003e-07,-6.89251800066e-08,3.63086209509e-08,2.26890549225e-07,3.99835144148e-08,6.886071051e-10,-1.83093503634e-08,1.17080078993e-08
19,-9.99678975093e-09,4.34741261283e-08,-6.23100569558e-08,1.4802672414e-08,1.15646914511e-07,5.09288484845e-09,2.02104901141e-09,-2.33214649626e-09,9.47050762388e-09
