horizon,x_e_x,x_e_pi,x_e_i,pi_e_x,pi_e_pi,pi_e_i,i_e_x,i_e_pi,i_e_i
0,0.00406912390956,-0.00144977408784,-0.00308584672365,0.000145216373018,0.0024510638934,-0.000678856069964,0.000150835707604,0.00023491601369,0.000500019152817
1,-0.000639382493558,-0.000995793297195,-0.00211954780359,-0.000140657889277,-0.000219064776954,-0.000466279767242,0.000103603166776,0.000161354650906,0.000343443661341
2,-0.000439166906602,-0.000683971591889,-0.00145583474943,-9.66124201795e-05,-0.0001504670544,-0.000320269392819,7.11609759817e-05,0.000110828218818,0.000235898060805
3,-0.000301646625921,-0.000469793419808,-0.000999956129348,-6.63593046996e-05,-0.000103349953263,-0.000219980559275,4.88776999801e-05,7.61235825394e-05,0.000162029180782
4,-0.000207189306757,-0.000322682783777,-0.000686830878994,-4.55796191839e-05,-7.0987053492e-05,-0.000151096069572,3.35721864743e-05,5.22863209427e-05,0.000111291527091
5,-0.000142310256922,-0.000221638223431,-0.000471757352643,-3.13068633608e-05,-4.87582394029e-05,-0.000103781999261,2.3059425978e-05,3.59134353183e-05,7.64418109286e-05
6,-9.77473670923e-05,-0.000152234654451,-0.000324031732671,-2.15034638516e-05,-3.34901336613e-05,-7.12838090431e-05,1.58386206642e-05,2.46675385284e-05,5.25048996162e-05
7,-6.71388554848e-05,-0.000104564048823,-0.000222564763834,-1.47698909434e-05,-2.30030670998e-05,-4.89620692211e-05,1.08789310186e-05,1.6943170478e-05,3.60635684872e-05
8,-4.61150622251e-05,-7.18209683972e-05,-0.00015287105893,-1.0144862241e-05,-1.57999099481e-05,-3.36301364165e-05,7.47231356931e-06,1.16376032216e-05,2.47706591487e-05
9,-3.167463831e-05,-4.93310230386e-05,-0.000105001170248,-6.96811034582e-06,-1.0852342137e-05,-2.30992295339e-05,5.13244086046e-06,7.99341592644e-06,1.70140000116e-05
10,-2.17560741254e-05,-3.3883556409e-05,-7.21212100611e-05,-4.7861233241e-06,-7.45405070316e-06,-1.58659601749e-05,3.52527352362e-06,5.49036575285e-06,1.16862532667e-05
11,-1.49433990917e-05,-2.32732938464e-05,-4.95372473318e-05,-3.28740151012e-06,-5.11989680973e-06,-1.08977094626e-05,2.42137294013e-06,3.77111817744e-06,8.02683174569e-06
12,-1.02640382234e-05,-1.59855181647e-05,-3.40252038357e-05,-2.2579879282e-06,-3.51665750425e-06,-7.48521175036e-06,1.66314666817e-06,2.59023404786e-06,5.51331777628e-06
13,-7.04996768167e-06,-1.09798291845e-05,-2.33705859413e-05,-1.55092387353e-06,-2.41545493235e-06,-5.14130011815e-06,1.14235060366e-06,1.77913077952e-06,3.78688302748e-06
14,-4.84234793664e-06,-7.54161658566e-06,-1.60523443115e-05,-1.06526914136e-06,-1.65908181936e-06,-3.53135860232e-06,7.84636091732e-07,1.22201556776e-06,2.60106230872e-06
15,-3.32602000439e-06,-5.18004240041e-06,-1.10257294593e-05,-7.31691840524e-07,-1.13955861749e-06,-2.42555254345e-06,5.38935940046e-07,8.39354849597e-07,1.78656828973e-06
16,-2.28451346626e-06,-3.55796916553e-06,-7.57314369485e-06,-5.0257059808e-07,-7.82718385283e-07,-1.66601747474e-06,3.70174085202e-07,5.76520121451e-07,1.22712410355e-06
17,-1.56914323144e-06,-2.44383030182e-06,-5.20169714253e-06,-3.45196149616e-07,-5.37618742254e-07,-1.14432244877e-06,2.5425814679e-07,3.95989194078e-07,8.42863703659e-07
18,-1.07778330798e-06,-1.67857175435e-06,-3.57284296361e-06,-2.37101776676e-07,-3.69269353393e-07,-7.85990475253e-07,1.74640008023e-07,2.71989538599e-07,5.78930216502e-07
19,-7.40287333671e-07,-1.15294549397e-06,-2.45404653383e-06,-1.62855966283e-07,-2.53636721785e-07,-5.39866213282e-07,1.19953412652e-07,1.86819009746e-07,3.97644594404e-07
