horizon,x_e_x,x_e_pi,x_e_i,x_e_q,x_e_copper,pi_e_x,pi_e_pi,pi_e_i,pi_e_q,pi_e_copper,i_e_x,i_e_pi,i_e_i,i_e_q,i_e_copper,q_e_x,q_e_pi,q_e_i,q_e_q,q_e_copper,copper_e_x,copper_e_pi,copper_e_i,copper_e_q,copper_e_copper
0,0.00398057119362,-0.00146420181894,-0.00311655617494,0.00040775050412,0.0116011010614,0.000189021491377,0.00232334271984,-0.000950710814978,0.00103470288706,0.000792201097798,0.00015159513648,0.000217735533063,0.000463450469256,0.000282118034159,0.000410379405938,-0.000417189612697,-0.00059920789557,-0.0012754150711,0.0453216925618,-0.019201027025,0,0,0,0,0.12
1,-0.000648996647158,-0.000932151480622,-0.00198408608386,-0.00120778055631,0.00916186636189,-0.000197977542102,-0.000284354410472,-0.000605248868267,-0.000368435533502,0.000209665456751,9.6509667655e-05,0.00013861647821,0.000295045420327,0.00017960416375,0.000647500671756,-0.000265594476217,-0.000381472362507,-0.000811964601849,-0.000494270418256,-0.0187906476191,0,0,0,0,0.112941855197
2,-0.000413169262423,-0.000593433481361,-0.00126312422019,-0.000768906594207,0.00750450468039,-0.00012603799327,-0.000181027902926,-0.000385318213244,-0.000234556277438,-0.000143860921701,6.14407306667e-05,8.82470938984e-05,0.000187834096265,0.000114340991112,0.000775740725965,-0.000169084808562,-0.000242855884297,-0.000516919181521,-0.000314666254506,-0.0181431469474,0,0,0,0,0.106298855461
3,-0.000263035009747,-0.000377796210296,-0.000804139905331,-0.000489507259847,0.00635105017227,-8.02392815811e-05,-0.000115247382952,-0.000245304259523,-0.000149325030522,-0.000352613082393,3.91148729095e-05,5.618054709e-05,0.000119580394369,7.27926456468e-05,0.000836000201246,-0.000107644077895,-0.000154608790399,-0.000329085085257,-0.000200325263393,-0.0173674062214,0,0,0,0,0.100046582843
4,-0.000167455381232,-0.000240515543859,-0.000511937762737,-0.000311633895779,0.00552418062936,-5.10825517102e-05,-7.33696798267e-05,-0.000156167493961,-9.50644552515e-05,-0.000470157430063,2.49016127595e-05,3.57660941783e-05,7.61281950502e-05,4.63418167773e-05,0.000854238980948,-6.85292049856e-05,-9.8428243309e-05,-0.000209504690887,-0.000127532617747,-0.0165314060201,0,0,0,0,0.0941620556035
5,-0.000106606739273,-0.000153118864778,-0.000325913775923,-0.00019839477974,0.00491066763268,-3.25205689508e-05,-4.67091727375e-05,-9.94205572201e-05,-6.05206683746e-05,-0.000530539389473,1.58530572108e-05,2.27696873568e-05,4.84653200231e-05,2.95024856308e-05,0.000846909875792,-4.36275922261e-05,-6.26621491307e-05,-0.000133376495837,-8.11908009694e-05,-0.0156771670392,0,0,0,0,0.088623643742
6,-6.7868806453e-05,-9.74797153424e-05,-0.000207485747424,-0.00012630361832,0.00443810665571,-2.07034959977e-05,-2.97363546219e-05,-6.32938836836e-05,-3.85291357408e-05,-0.000555380107533,1.00924958297e-05,1.44958143805e-05,3.08543666823e-05,1.8782100464e-05,0.000824417581244,-2.77745350153e-05,-3.98924617739e-05,-8.4911175814e-05,-5.16883153386e-05,-0.0148302571634,0,0,0,0,0.0834109894879
7,-4.32071642072e-05,-6.20582899242e-05,-0.000132091180443,-8.0408385854e-05,0.00406010162591,-1.31804196653e-05,-1.8930987949e-05,-4.02946415084e-05,-2.45287162353e-05,-0.000558394215429,6.42516271264e-06,9.22843740726e-06,1.96427454294e-05,1.19572059878e-05,0.000793320489786,-1.76820391857e-05,-2.53966473933e-05,-5.40568091316e-05,-3.29062148747e-05,-0.0140058395822,0,0,0,0,0.0785049324716
8,-2.75068788799e-05,-3.95080282579e-05,-8.40929083917e-05,-5.11902081796e-05,0.00374683189818,-8.39102065534e-06,-1.20519918894e-05,-2.56526861649e-05,-1.56156609429e-05,-0.000548265777526,4.09043675426e-06,5.87507916037e-06,1.25051164387e-05,7.61228890817e-06,0.000757732184813,-1.1256876473e-05,-1.61682099861e-05,-3.44140637022e-05,-2.09490088869e-05,-0.0132125190924,0,0,0,0,0.0738874392956
9,-1.75116418677e-05,-2.51519063566e-05,-5.35358773998e-05,-3.25891060446e-05,0.00347904588598,-5.34195643432e-06,-7.67263224159e-06,-1.63312113681e-05,-9.94136278249e-06,-0.000530479027237,2.60408546661e-06,3.74023831093e-06,7.96110389491e-06,4.84619420964e-06,0.000720213443824,-7.16643971877e-06,-1.02931308257e-05,-2.19089472636e-05,-1.33367199787e-05,-0.0124547869076,0,0,0,0,0.0695415372485
10,-1.11483968152e-05,-1.60124010554e-05,-3.40824241162e-05,-2.07471286122e-05,0.00324423625921,-3.4008375999e-06,-4.88461044904e-06,-1.03969020256e-05,-6.32894722385e-06,-0.000508483701482,1.65783301999e-06,2.38113942649e-06,5.06825950293e-06,3.08522162005e-06,0.000682339899038,-4.56235425216e-06,-6.55289251477e-06,-1.39478433686e-05,-8.49052576909e-06,-0.0117345734637,0,0,0,0,0.0654512519175
11,-7.09737856046e-06,-1.01939385398e-05,-2.16978163066e-05,-1.32081973976e-05,0.00303420404563,-2.16506752218e-06,-3.10967846334e-06,-6.6189561382e-06,-4.02918330601e-06,-0.000484436771713,1.05542247266e-06,1.51589938851e-06,3.22659454369e-06,1.9641376373e-06,0.000645063225073,-2.90452123217e-06,-4.17175308827e-06,-8.87958386571e-06,-5.40530414904e-06,-0.0110522335647,0,0,0,0,0.0616015484712
