horizon,x_e_x,x_e_pi,x_e_i,pi_e_x,pi_e_pi,pi_e_i,i_e_x,i_e_pi,i_e_i
0,0.0040001785485,-0.00146620875212,-0.0030341382709,0.000213951587261,0.00235051841591,-0.000868065428199,0.000157196280732,0.000230523722274,0.000477040426263
1,-0.000655178836321,-0.000960800493499,-0.00198825818207,-0.000187446334451,-0.000274884536345,-0.000568839662564,0.000103010068577,0.00015106123586,0.000312602606082
2,-0.000429335964854,-0.00062960856493,-0.00130289731239,-0.000122832802891,-0.000180130692709,-0.000372758263599,6.75020692525e-05,9.89897992038e-05,0.000204847186841
3,-0.000281342071047,-0.000412579872424,-0.000853783186682,-8.0491824554e-05,-0.000118038893302,-0.000244266938868,4.4233825065e-05,6.4867603463e-05,0.000134235509046
4,-0.000184362288326,-0.00027036187341,-0.000559480569135,-5.27459576561e-05,-7.73503955509e-05,-0.000160067108501,2.8986241482e-05,4.25074705968e-05,8.79639704445e-05
5,-0.000120811840299,-0.00017716701051,-0.000366625288624,-3.45642065448e-05,-5.06873923037e-05,-0.000104891310067,1.89945634142e-05,2.78549685833e-05,5.76424237621e-05
6,-7.91674961785e-05,-0.00011609680469,-0.00024024802589,-2.26497807067e-05,-3.32152372363e-05,-6.87348389717e-05,1.24470583577e-05,1.82532449916e-05,3.7772840407e-05
7,-5.18781307829e-05,-7.60777529657e-05,-0.000157433531551,-1.48423070379e-05,-2.17658067327e-05,-4.50416539317e-05,8.1565055422e-06,1.19612754804e-05,2.47523851235e-05
8,-3.39955232063e-05,-4.98534349138e-05,-0.000103165538051,-9.72610203431e-06,-1.42630425715e-05,-2.95156083764e-05,5.34492413775e-06,7.83817404436e-06,1.62201349621e-05
9,-2.22771248816e-05,-3.26687484293e-05,-6.7603947752e-05,-6.37347418701e-06,-9.34651244012e-06,-1.93414553371e-05,3.50250654407e-06,5.13632283198e-06,1.06289869391e-05
10,-1.45981072266e-05,-2.14076948917e-05,-4.43005856218e-05,-4.17651111094e-06,-6.12473070563e-06,-1.26743751912e-05,2.29517796232e-06,3.36581097651e-06,6.96513090765e-06
11,-9.5660789142e-06,-1.40283733724e-05,-2.9029989397e-05,-2.73685035006e-06,-4.01351054277e-06,-8.30546531718e-06,1.50402056711e-06,2.20560192577e-06,4.56422129775e-06
12,-6.26861170235e-06,-9.19273469057e-06,-1.90232312408e-05,-1.79344664474e-06,-2.63003675608e-06,-5.44253685839e-06,9.85578418509e-07,1.44532176314e-06,2.99091522198e-06
13,-4.10779516114e-06,-6.02396078631e-06,-1.24658442652e-05,-1.1752381227e-06,-1.72345214112e-06,-3.56647175368e-06,6.45845436072e-07,9.47113336546e-07,1.95993429799e-06
14,-2.69182107413e-06,-3.947476434e-06,-8.16881586921e-06,-7.70128650944e-07,-1.12937101577e-06,-2.33709409798e-06,4.23219826512e-07,6.20639427938e-07,1.28433678903e-06
15,-1.76393914761e-06,-2.58676487941e-06,-5.3529910438e-06,-5.04662100002e-07,-7.4007212665e-07,-1.53148803637e-06,2.77334191045e-07,4.0670243428e-07,8.41620552963e-07
16,-1.15590198263e-06,-1.69509626041e-06,-3.50779275404e-06,-3.30702973933e-07,-4.84966184715e-07,-1.00357773681e-06,1.8173594124e-07,2.66510412654e-07,5.51510445874e-07
17,-7.57457758826e-07,-1.11078952515e-06,-2.29864199371e-06,-2.16708282567e-07,-3.17796322612e-07,-6.57640314447e-07,1.19090805983e-07,1.74643164304e-07,3.61402500019e-07
18,-4.96358917128e-07,-7.27895753177e-07,-1.50629053247e-06,-1.42008035715e-07,-2.08250607669e-07,-4.30948961226e-07,7.80397095539e-08,1.14442938775e-07,2.36825554252e-07
19,-3.2526193275e-07,-4.76987057851e-07,-9.87065917359e-07,-9.30572748242e-08,-1.36465756551e-07,-2.82399060857e-07,5.11390969007e-08,7.49939815144e-08,1.5519080013e-07
