horizon,x_e_x,x_e_pi,x_e_i,pi_e_x,pi_e_pi,pi_e_i,i_e_x,i_e_pi,i_e_i
0,0.00371702354739,-0.00184273432711,-0.00129247998188,0.000226663491541,0.00237740778526,-0.000275361223337,0.000451034576779,0.000647819292129,0.000454375573644
1,-0.00068582724897,-0.000985051137594,-0.000690907450814,-0.000146114626858,-0.00020986389739,-0.000147196957427,0.000241104817126,0.000346297955857,0.000242890778734
2,-0.000366615470201,-0.000526568442015,-0.000369331140351,-7.81069616425e-05,-0.000112184739722,-7.86855317288e-05,0.000128884870106,0.000185116861581,0.000129839572847
3,-0.000195977781858,-0.000281482162239,-0.000197429469131,-4.17528182375e-05,-5.99694181945e-05,-4.20620983726e-05,6.88966315156e-05,9.89559766731e-05,6.94069769342e-05
4,-0.000104761784768,-0.000150468963456,-0.000105537797989,-2.2319365574e-05,-3.20572221096e-05,-2.24846942079e-05,3.68293487847e-05,5.28978572545e-05,3.71021587757e-05
5,-5.60014071178e-05,-8.04346136306e-05,-5.64162323557e-05,-1.19310288659e-05,-1.71364925712e-05,-1.20194068575e-05,1.96874782129e-05,2.82770520406e-05,1.98333113849e-05
6,-2.99360840988e-05,-4.29970867167e-05,-3.01578328699e-05,-6.37784480603e-06,-9.16047487325e-06,-6.42508810089e-06,1.05241284783e-05,1.51157667552e-05,1.06020849856e-05
7,-1.60026181001e-05,-2.29845011081e-05,-1.61211560119e-05,-3.40933752041e-06,-4.89681885339e-06,-3.43459187242e-06,5.62577284053e-06,8.08027669466e-06,5.66744523194e-06
8,-8.55435150472e-06,-1.22865833834e-05,-8.61771707142e-06,-1.8224937548e-06,-2.61764103005e-06,-1.83599370854e-06,3.00731030777e-06,4.31938865686e-06,3.02958668042e-06
9,-4.57280984954e-06,-6.56790985056e-06,-4.60668251509e-06,-9.74231347412e-07,-1.39928487602e-06,-9.81447875912e-07,1.60758628967e-06,2.30897023383e-06,1.61949433626e-06
10,-2.44443893947e-06,-3.51093859528e-06,-2.46254589457e-06,-5.20784620403e-07,-7.48001021452e-07,-5.24642284257e-07,8.59350520646e-07,1.23428197002e-06,8.65716080059e-07
11,-1.30669805336e-06,-1.87680557442e-06,-1.3163772982e-06,-2.78390365459e-07,-3.99851050834e-07,-2.80452516314e-07,4.5937398327e-07,6.59797150786e-07,4.62776753517e-07
12,-6.98507855971e-07,-1.00326424647e-06,-7.03681988238e-07,-1.4881621412e-07,-2.1374417717e-07,-1.49918556447e-07,2.45562726077e-07,3.52700833973e-07,2.47381709233e-07
13,-3.73394009119e-07,-5.36304432357e-07,-3.76159890668e-07,-7.95511207747e-08,-1.14258980135e-07,-8.0140388336e-08,1.31267887679e-07,1.88539580896e-07,1.32240242402e-07
14,-1.99601314222e-07,-2.86686628353e-07,-2.01079842476e-07,-4.25248072188e-08,-6.10782231091e-08,-4.28398057908e-08,7.0170496194e-08,1.00785623793e-07,7.06902776471e-08
15,-1.06698778411e-07,-1.53251060252e-07,-1.07489139733e-07,-2.27320396166e-08,-3.26499443086e-08,-2.29004250953e-08,3.75103052482e-08,5.38759125012e-08,3.77881593612e-08
16,-5.7036845468e-08,-8.19218098981e-08,-5.74593406196e-08,-1.21516276952e-08,-1.74533378525e-08,-1.22416397522e-08,2.00514899589e-08,2.87998807623e-08,2.02000195139e-08
17,-3.04895875039e-08,-4.37920816075e-08,-3.07154363002e-08,-6.49576800553e-09,-9.32984752794e-09,-6.54388480557e-09,1.07187144143e-08,1.53952498146e-08,1.07981122993e-08
18,-1.62984986027e-08,-2.34094731782e-08,-1.64192282219e-08,-3.47237448679e-09,-4.98735861473e-09,-3.49809577928e-09,5.72979060118e-09,8.22967701885e-09,5.77223349413e-09
19,-8.71251723778e-09,-1.251375624e-08,-8.7770544025e-09,-1.85619076393e-09,-2.66603991945e-09,-1.86994032514e-09,3.06291398928e-09,4.3992520191e-09,3.0856022416e-09
