horizon,x_e_x,x_e_pi,x_e_i,pi_e_x,pi_e_pi,pi_e_i,i_e_x,i_e_pi,i_e_i
0,0.00399714120767,-0.00144040236913,-0.00306589900371,0.000213393047755,0.002358347496,-0.000876203086681,0.000156326752911,0.000224531536219,0.000477915774055
1,-0.000658375069126,-0.00094562167336,-0.00201275741305,-0.000188156970293,-0.000270249159554,-0.000575225816609,0.000102628243918,0.000147404566634,0.000313750882165
2,-0.000432222098427,-0.000620798999148,-0.00132137177346,-0.000123524726781,-0.000177418107577,-0.000377634757425,6.73752652919e-05,9.67708440008e-05,0.000205976913513
3,-0.00028375306285,-0.000407553473234,-0.000867478292404,-8.10937702851e-05,-0.000116474681913,-0.000247916567543,4.4231745569e-05,6.35298923395e-05,0.0001352234888
4,-0.000186283396823,-0.000267558152918,-0.000569498004201,-5.32379204584e-05,-7.6465427977e-05,-0.000162756799404,2.90380647498e-05,4.17072648517e-05,8.87739873919e-05
5,-0.000122294729027,-0.000175651466358,-0.000373874458449,-3.4950603046e-05,-5.01994217084e-05,-0.00010684955836,1.90634394724e-05,2.73807475088e-05,5.82799697552e-05
6,-8.02862788785e-05,-0.000115314884997,-0.000245447937744,-2.29450106759e-05,-3.29558338523e-05,-7.01465509496e-05,1.25151151652e-05,1.79754135594e-05,3.82606997213e-05
7,-5.27078037415e-05,-7.57040232998e-05,-0.000161136148194,-1.50633599719e-05,-2.16354481374e-05,-4.6051089828e-05,8.21615154098e-06,1.18008280281e-05,2.51180834396e-05
8,-3.46025823348e-05,-4.96995608498e-05,-0.000105785603634,-9.88906986569e-06,-1.42036344219e-05,-3.02324611209e-05,5.3938893293e-06,7.74722326631e-06,1.64899784968e-05
9,-2.27165356787e-05,-3.26276760599e-05,-6.94480665052e-05,-6.49215732684e-06,-9.32466152352e-06,-1.98475586319e-05,3.54107905041e-06,5.08603872499e-06,1.08256424691e-05
10,-1.49133665299e-05,-2.14200131122e-05,-4.55925359938e-05,-4.26209009836e-06,-6.12162422275e-06,-1.30298880423e-05,2.32471229492e-06,3.33897565914e-06,7.10701562714e-06
11,-9.79059942946e-06,-1.40622016991e-05,-2.99314213189e-05,-2.79805480551e-06,-4.01883575399e-06,-8.5540990478e-06,1.52616961587e-06,2.1920317668e-06,4.66574351303e-06
12,-6.42751165514e-06,-9.23181118468e-06,-1.96499265206e-05,-1.83691815845e-06,-2.63835874759e-06,-5.61575128521e-06,1.00192772306e-06,1.43906507778e-06,3.0630525767e-06
13,-4.21965032627e-06,-6.06066813529e-06,-1.29001429018e-05,-1.20593360581e-06,-1.7320779716e-06,-3.68673104217e-06,6.57763823754e-07,9.44743743894e-07,2.01088873862e-06
14,-2.77019316827e-06,-3.97881818761e-06,-8.46892158661e-06,-7.91693334254e-07,-1.13710620379e-06,-2.42033257653e-06,4.31820816892e-07,6.20222639967e-07,1.32014499192e-06
15,-1.81862704161e-06,-2.61208728421e-06,-5.5598324287e-06,-5.19745309761e-07,-7.46508263427e-07,-1.58894416599e-06,2.83489622215e-07,4.07175094424e-07,8.66672912435e-07
16,-1.19392551912e-06,-1.71483080117e-06,-3.65002040923e-06,-3.41211900279e-07,-4.90081388622e-07,-1.04313910704e-06,1.86110448499e-07,2.67309747882e-07,5.68969273638e-07
17,-7.83810046034e-07,-1.12578346612e-06,-2.39623210926e-06,-2.24005024586e-07,-3.21737587165e-07,-6.84819026326e-07,1.2218118875e-07,1.7548838888e-07,3.73527347745e-07
18,-5.14569944628e-07,-7.39074905655e-07,-1.57312225075e-06,-1.47058912655e-07,-2.11220171584e-07,-4.49582510763e-07,8.02117398821e-08,1.15207824914e-07,2.45220060166e-07
19,-3.37814281987e-07,-4.85201402053e-07,-1.03275204695e-06,-9.6543922759e-08,-1.38665678689e-07,-2.95150143635e-07,5.26588690188e-08,7.56337385395e-08,1.60986546956e-07
