scenario,variable,shock,variance_share,source
baseline,x,e_x,0.453868473298,dynare
baseline,x,e_pi,0.0987486790729,dynare
baseline,x,e_i,0.44738284763,dynare
baseline,pi,e_x,0.0150549395732,dynare
baseline,pi,e_pi,0.795189407125,dynare
baseline,pi,e_i,0.189755653301,dynare
baseline,i,e_x,0.0805855698892,dynare
baseline,i,e_pi,0.166243763736,dynare
baseline,i,e_i,0.7531706663750001,dynare
rstar_2,x,e_x,0.45416973203300004,dynare
rstar_2,x,e_pi,0.0986942070259,dynare
rstar_2,x,e_i,0.447136060941,dynare
rstar_2,pi,e_x,0.0150330627767,dynare
rstar_2,pi,e_pi,0.794219660222,dynare
rstar_2,pi,e_i,0.190747277001,dynare
rstar_2,i,e_x,0.0805855698892,dynare
rstar_2,i,e_pi,0.166243763736,dynare
rstar_2,i,e_i,0.7531706663750001,dynare
rstar_3,x,e_x,0.453868473298,dynare
rstar_3,x,e_pi,0.0987486790729,dynare
rstar_3,x,e_i,0.44738284763,dynare
rstar_3,pi,e_x,0.0150549395732,dynare
rstar_3,pi,e_pi,0.795189407125,dynare
rstar_3,pi,e_i,0.189755653301,dynare
rstar_3,i,e_x,0.0805855698892,dynare
rstar_3,i,e_pi,0.166243763736,dynare
rstar_3,i,e_i,0.7531706663750001,dynare
rstar_4,x,e_x,0.453572150487,dynare
rstar_4,x,e_pi,0.09880225863150001,dynare
rstar_4,x,e_i,0.447625590882,dynare
rstar_4,pi,e_x,0.0150766684421,dynare
rstar_4,pi,e_pi,0.796143085482,dynare
rstar_4,pi,e_i,0.188780246076,dynare
rstar_4,i,e_x,0.0805855698892,dynare
rstar_4,i,e_pi,0.166243763736,dynare
rstar_4,i,e_i,0.7531706663750001,dynare
kappa_0p07,x,e_x,0.44058245895,dynare
kappa_0p07,x,e_pi,0.101150987497,dynare
kappa_0p07,x,e_i,0.458266553554,dynare
kappa_0p07,pi,e_x,0.0083281181676,dynare
kappa_0p07,pi,e_pi,0.8675606325059999,dynare
kappa_0p07,pi,e_i,0.124111249327,dynare
kappa_0p07,i,e_x,0.0693733425648,dynare
kappa_0p07,i,e_pi,0.168271100712,dynare
kappa_0p07,i,e_i,0.7623555567229999,dynare
kappa_0p10,x,e_x,0.453868473298,dynare
