horizon,date,scenario,variable,value_dev,value_level,implied_e_i_q,p05_level,p95_level,data_source,mean_tpm_annual_pct,mean_infl_annual_pct
1,2026Q2,unconditional,x,-0.0041601136472941775,-0.41601136472941774,,-1.27778895705,0.44576622759199996,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
1,2026Q2,unconditional,pi,-0.00119285263085688,3.2991338474459786,,1.6076753636017127,5.011623183524461,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
1,2026Q2,unconditional,i,0.0006481556888642445,4.35960098380479,0.0,3.9862399850863595,4.733966491391528,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
4,2027Q1,unconditional,x,-0.0011748153099710066,-0.11748153099710067,,-1.10612948938,0.871166427387,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
4,2027Q1,unconditional,pi,-0.00033686135814615145,3.6504150580272565,,1.8628449835044414,5.461409824958152,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
4,2027Q1,unconditional,i,0.0001830390443823067,4.167636278113607,0.0,3.6823514326406626,4.65462266392529,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
8,2028Q1,unconditional,x,-0.0002176651001212595,-0.02176651001212595,,-1.02030106617,0.976768046147,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
8,2028Q1,unconditional,pi,-6.24123303684858e-05,3.7632327369062635,,1.9667296078657026,5.583370751442884,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
8,2028Q1,unconditional,i,3.391274490843816e-05,4.106144411298818,0.0,3.612833960956996,4.60121429157494,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
1,2026Q2,hold,x,-0.006340892553621958,-0.6340892553621958,,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
1,2026Q2,hold,pi,-0.0018181595518402174,3.043085688700997,,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
1,2026Q2,hold,i,0.0009879262754709,4.499999999999993,0.00048375126903682535,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
4,2027Q1,hold,x,-0.0027293548048716986,-0.27293548048716987,,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
4,2027Q1,hold,pi,-0.0007826031535582345,3.4673801862916243,,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
4,2027Q1,hold,i,0.00042524002796346093,4.267565308905907,0.0,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
8,2028Q1,hold,x,-0.0005056839843902788,-0.05056839843902788,,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
8,2028Q1,hold,pi,-0.00014499759436968057,3.729274755377321,,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
8,2028Q1,hold,i,7.878677820815785e-05,4.124645245419645,0.0,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
1,2026Q2,hike,x,-0.016045965956820864,-1.6045965956820865,,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
1,2026Q2,hike,pi,-0.004600949476147859,1.9093681854707611,,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
1,2026Q2,hike,i,0.0025,5.126533507143183,0.002636579123924082,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
4,2027Q1,hike,x,-0.016045965956820864,-1.6045965956820865,,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
4,2027Q1,hike,pi,-0.004600949476147858,1.9093681854707611,,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
4,2027Q1,hike,i,0.0025,5.126533507143183,0.0012241583229635295,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
8,2028Q1,hike,x,-0.0029729326447234766,-0.29729326447234766,,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
8,2028Q1,hike,pi,-0.000852445588577915,3.438722782645054,,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
8,2028Q1,hike,i,0.0004631900399021684,4.283229511732256,0.0,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
1,2026Q2,pi_target,x,-0.006708255557185617,-0.6708255557185617,,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
1,2026Q2,pi_target,pi,-0.0019234955985045713,2.9999999999999583,,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
1,2026Q2,pi_target,i,0.0010451623129510087,4.523664844019382,0.0005652415653045704,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
4,2027Q1,pi_target,x,-0.006708255557185617,-0.6708255557185617,,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
4,2027Q1,pi_target,pi,-0.0019234955985045713,2.9999999999999583,,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
4,2027Q1,pi_target,i,0.001045162312951009,4.523664844019382,0.0005117776576987165,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
8,2028Q1,pi_target,x,-0.0012428788636826996,-0.12428788636826996,,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
8,2028Q1,pi_target,pi,-0.0003563776012091911,3.6423960270055566,,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
8,2028Q1,pi_target,i,0.00019364350937600816,4.172010040639473,0.0,,,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
