scenario,scenario_type,variable,shock,impact_pp,peak_response_pp,peak_abs_pp,peak_horizon,cumulative_abs_pp,first_sign_change_horizon,response_h4_pp,response_h8_pp,response_h19_pp,source
baseline,baseline,i,e_i,0.0477609080701,0.0477609080701,0.0477609080701,0,0.1388406076227608,,0.008848950765880001,0.0016394983433300001,1.58932894e-05,dynare
baseline,baseline,i,e_pi,0.0224387447377,0.0224387447377,0.0224387447377,0,0.06522926551361174,,0.00415736122816,0.000770259325262,7.466890356539999e-06,dynare
baseline,baseline,i,e_x,0.015622643319199998,0.015622643319199998,0.015622643319199998,0,0.0454149089445068,,0.00289450111295,0.0005362816344009999,5.19871169741e-06,dynare
baseline,baseline,pi,e_i,-0.08789820998560001,-0.08789820998560001,0.08789820998560001,0,0.25551944836237894,,-0.016285430156199997,-0.0030172996175400002,-2.9249688615499997e-05,dynare
baseline,baseline,pi,e_pi,0.235704187662,0.235704187662,0.235704187662,0,0.3144549973208095,1.0,-0.0076511235859,-0.00141756969562,-1.3741914109699999e-05,dynare
baseline,baseline,pi,e_x,0.0212484029619,0.0212484029619,0.0212484029619,0,0.07607748653049307,1.0,-0.00532698135171,-0.000986961881941,-9.56760394437e-06,dynare
baseline,baseline,x,e_i,-0.30654796198199996,-0.30654796198199996,0.30654796198199996,0,0.891132665330735,,-0.056795985096899995,-0.0105229338413,-0.00010200927226099999,dynare
baseline,baseline,x,e_pi,-0.14402053367,-0.14402053367,0.14402053367,0,0.4186666295271285,,-0.0266835506948,-0.00494382196441,-4.7925387385699995e-05,dynare
baseline,baseline,x,e_x,0.39972783885799995,0.39972783885799995,0.39972783885799995,0,0.5909461108575337,1.0,-0.0185780265281,-0.00344206273953,-3.33673403665e-05,dynare
fevd_didactic_benchmark,fevd,i,e_i,0.0561767385317,0.0561767385317,0.0561767385317,0,0.16330536472537782,,0.0104082023048,0.0019283902563399999,1.8693806276e-05,dynare
fevd_didactic_benchmark,fevd,i,e_pi,0.026799576092500003,0.026799576092500003,0.026799576092500003,0,0.07790617010999146,,0.00496531868786,0.00091995446446,8.91803434745e-06,dynare
fevd_didactic_benchmark,fevd,i,e_x,0.015622643319199998,0.015622643319199998,0.015622643319199998,0,0.0454149089445068,,0.00289450111295,0.0005362816344009999,5.19871169741e-06,dynare
fevd_didactic_benchmark,fevd,pi,e_i,-0.10338653428700001,-0.10338653428700001,0.10338653428700001,0,0.3005438929124815,,-0.0191550451767,-0.0035489704558700004,-3.4403703277100004e-05,dynare
fevd_didactic_benchmark,fevd,pi,e_pi,0.28151183974000005,0.28151183974000005,0.28151183974000005,0,0.37556738252852956,1.0,-0.00913807216627,-0.00169306560453,-1.64125701836e-05,dynare
fevd_didactic_benchmark,fevd,pi,e_x,0.0212484029619,0.0212484029619,0.0212484029619,0,0.07607748653049307,1.0,-0.00532698135171,-0.000986961881941,-9.56760394437e-06,dynare
fevd_didactic_benchmark,fevd,x,e_i,-0.360564013616,-0.360564013616,0.360564013616,0,1.0481569291747919,,-0.06680386394150001,-0.0123771537619,-0.00011998407164299999,dynare
fevd_didactic_benchmark,fevd,x,e_pi,-0.172010034255,-0.172010034255,0.172010034255,0,0.5000319013632172,,-0.0318693338519,-0.0059046232074,-5.72393902163e-05,dynare
fevd_didactic_benchmark,fevd,x,e_x,0.39972783885799995,0.39972783885799995,0.39972783885799995,0,0.5909461108575337,1.0,-0.0185780265281,-0.00344206273953,-3.33673403665e-05,dynare
kappa_0p07,kappa,i,e_i,0.050001915281700005,0.050001915281700005,0.050001915281700005,0,0.1595924000061015,,0.0111291527091,0.0024770659148699997,3.97644594404e-05,dynare
kappa_0p07,kappa,i,e_pi,0.023491601369,0.023491601369,0.023491601369,0,0.0749787487407741,,0.00522863209427,0.00116376032216,1.86819009746e-05,dynare
kappa_0p07,kappa,i,e_x,0.015083570760400001,0.015083570760400001,0.015083570760400001,0,0.04814262103266951,,0.00335721864743,0.000747231356931,1.19953412652e-05,dynare
kappa_0p07,kappa,pi,e_i,-0.0678856069964,-0.0678856069964,0.0678856069964,0,0.2166722391611425,,-0.0151096069572,-0.00336301364165,-5.39866213282e-05,dynare
kappa_0p07,kappa,pi,e_pi,0.24510638934,0.24510638934,0.24510638934,0,0.3150084367347155,1.0,-0.007098705349200001,-0.0015799909948099999,-2.5363672178500002e-05,dynare
kappa_0p07,kappa,pi,e_x,0.014521637301799999,0.014521637301799999,0.014521637301799999,0,0.059404591920910896,1.0,-0.00455796191839,-0.0010144862241,-1.6285596628300002e-05,dynare
kappa_0p07,kappa,x,e_i,-0.308584672365,-0.308584672365,0.308584672365,0,0.9849176414613519,,-0.0686830878994,-0.015287105892999999,-0.000245404653383,dynare
kappa_0p07,kappa,x,e_pi,-0.144977408784,-0.144977408784,0.144977408784,0,0.462728127195614,,-0.0322682783777,-0.007182096839719999,-0.000115294549397,dynare
kappa_0p07,kappa,x,e_x,0.406912390956,0.406912390956,0.406912390956,0,0.610934899683475,1.0,-0.0207189306757,-0.00461150622251,-7.40287333671e-05,dynare
kappa_0p10,kappa,i,e_i,0.0477609080701,0.0477609080701,0.0477609080701,0,0.1388406076227608,,0.008848950765880001,0.0016394983433300001,1.58932894e-05,dynare
kappa_0p10,kappa,i,e_pi,0.0224387447377,0.0224387447377,0.0224387447377,0,0.06522926551361174,,0.00415736122816,0.000770259325262,7.466890356539999e-06,dynare
kappa_0p10,kappa,i,e_x,0.015622643319199998,0.015622643319199998,0.015622643319199998,0,0.0454149089445068,,0.00289450111295,0.0005362816344009999,5.19871169741e-06,dynare
kappa_0p10,kappa,pi,e_i,-0.08789820998560001,-0.08789820998560001,0.08789820998560001,0,0.25551944836237894,,-0.016285430156199997,-0.0030172996175400002,-2.9249688615499997e-05,dynare
kappa_0p10,kappa,pi,e_pi,0.235704187662,0.235704187662,0.235704187662,0,0.3144549973208095,1.0,-0.0076511235859,-0.00141756969562,-1.3741914109699999e-05,dynare
kappa_0p10,kappa,pi,e_x,0.0212484029619,0.0212484029619,0.0212484029619,0,0.07607748653049307,1.0,-0.00532698135171,-0.000986961881941,-9.56760394437e-06,dynare
kappa_0p10,kappa,x,e_i,-0.30654796198199996,-0.30654796198199996,0.30654796198199996,0,0.891132665330735,,-0.056795985096899995,-0.0105229338413,-0.00010200927226099999,dynare
kappa_0p10,kappa,x,e_pi,-0.14402053367,-0.14402053367,0.14402053367,0,0.4186666295271285,,-0.0266835506948,-0.00494382196441,-4.7925387385699995e-05,dynare
kappa_0p10,kappa,x,e_x,0.39972783885799995,0.39972783885799995,0.39972783885799995,0,0.5909461108575337,1.0,-0.0185780265281,-0.00344206273953,-3.33673403665e-05,dynare
kappa_0p13,kappa,i,e_i,0.0458678413267,0.0458678413267,0.0458678413267,0,0.12397937935486159,,0.00722886990872,0.00113928536085,7.07828937208e-06,dynare
kappa_0p13,kappa,i,e_pi,0.0215493554204,0.0215493554204,0.0215493554204,0,0.05824725195777441,,0.00339622451035,0.000535252247675,3.32547966143e-06,dynare
kappa_0p13,kappa,i,e_x,0.016170351798200002,0.016170351798200002,0.016170351798200002,0,0.043707968849186256,,0.00254848203329,0.00040164621989000006,2.49539603269e-06,dynare
kappa_0p13,kappa,pi,e_i,-0.105251647088,-0.105251647088,0.105251647088,0,0.2844919992867317,,-0.0165878847242,-0.00261428611558,-1.6242351796400003e-05,dynare
kappa_0p13,kappa,pi,e_pi,0.22755129942799998,0.22755129942799998,0.22755129942799998,0,0.31176093178653513,1.0,-0.007793220985639999,-0.0012282282977700001,-7.630884768040001e-06,dynare
kappa_0p13,kappa,pi,e_x,0.027894347945899997,0.027894347945899997,0.027894347945899997,0,0.0910841442747243,1.0,-0.00584793013621,-0.0009216462987389999,-5.72611518179e-06,dynare
kappa_0p13,kappa,x,e_i,-0.30325945202500004,-0.30325945202500004,0.30325945202500004,0,0.8197010706854271,,-0.0477943383397,-0.0075324899589200005,-4.67987612705e-05,dynare
kappa_0p13,kappa,x,e_pi,-0.142475545551,-0.142475545551,0.142475545551,0,0.3851070641157352,,-0.0224544507475,-0.00353886946998,-2.19867146715e-05,dynare
kappa_0p13,kappa,x,e_x,0.393088231678,0.393088231678,0.393088231678,0,0.5751557198221453,1.0,-0.0168495233819,-0.0026555209277099997,-1.6498540405900002e-05,dynare
phi_pi_1p3,phi_pi,i,e_i,0.048296259402200004,0.048296259402200004,0.048296259402200004,0,0.14345668589852598,,0.009356132838540001,0.00181250520798,1.9862421493e-05,dynare
phi_pi_1p3,phi_pi,i,e_pi,0.016855621940899998,0.016855621940899998,0.016855621940899998,0,0.05006705886390235,,0.0032653344152699998,0.000632572852011,6.93207862596e-06,dynare
phi_pi_1p3,phi_pi,i,e_x,0.0147445734834,0.0147445734834,0.0147445734834,0,0.04379651080844757,,0.0028563741760900003,0.00055334753786,6.0638843854200005e-06,dynare
phi_pi_1p3,phi_pi,pi,e_i,-0.0994167378822,-0.0994167378822,0.0994167378822,0,0.29530228460649094,,-0.0192593840085,-0.00373100023484,-4.08863372798e-05,dynare
phi_pi_1p3,phi_pi,pi,e_pi,0.242303090362,0.242303090362,0.242303090362,0,0.3106680685224964,1.0,-0.006721615704380001,-0.00130213664988,-1.4269524229500001e-05,dynare
phi_pi_1p3,phi_pi,pi,e_x,0.0196486350014,-0.020136034583,0.020136034583,1,0.07945137901842211,1.0,-0.00587978046898,-0.00113905316499,-1.24823663768e-05,dynare
phi_pi_1p3,phi_pi,x,e_i,-0.33946197805,-0.33946197805,0.33946197805,0,1.008320125873445,,-0.06576184987370001,-0.0127396326494,-0.00013960784897899998,dynare
phi_pi_1p3,phi_pi,x,e_pi,-0.11847382874199999,-0.11847382874199999,0.11847382874199999,0,0.3519084717414963,,-0.022951195254499998,-0.00444619178094,-4.8723796656199994e-05,dynare
phi_pi_1p3,phi_pi,x,e_x,0.39636418757599995,0.39636418757599995,0.39636418757599995,0,0.6005627783698907,1.0,-0.0200767189813,-0.0038893374368200004,-4.2621482773399996e-05,dynare
phi_pi_1p4,phi_pi,i,e_i,0.0481734079294,0.0481734079294,0.0481734079294,0,0.14237981468644573,,0.00923774043883,0.00177143058968,1.88759882231e-05,dynare
phi_pi_1p4,phi_pi,i,e_pi,0.0181060343675,0.0181060343675,0.0181060343675,0,0.053513627720250444,,0.00347201605725,0.000665794356574,7.0945632907500005e-06,dynare
phi_pi_1p4,phi_pi,i,e_x,0.0149405131449,0.0149405131449,0.0149405131449,0,0.04415771240454772,,0.00286499519938,0.000549391939412,5.8542038500700005e-06,dynare
phi_pi_1p4,phi_pi,pi,e_i,-0.0965568830264,-0.0965568830264,0.0965568830264,0,0.28538049730986975,,-0.0185157633914,-0.00355058576067,-3.7834287944400004e-05,dynare
phi_pi_1p4,phi_pi,pi,e_pi,0.24070897726300003,0.24070897726300003,0.24070897726300003,0,0.31167856394095206,1.0,-0.00695917234665,-0.0013344920065,-1.4220063458999998e-05,dynare
phi_pi_1p4,phi_pi,pi,e_x,0.0200538234247,0.0200538234247,0.0200538234247,0,0.0786156278004342,1.0,-0.00574248362797,-0.00110117958246,-1.17339358094e-05,dynare
phi_pi_1p4,phi_pi,x,e_i,-0.33131437328,-0.33131437328,0.33131437328,0,0.9792223780337802,,-0.0635328974131,-0.012183078608199999,-0.000129820298729,dynare
phi_pi_1p4,phi_pi,x,e_pi,-0.124524912953,-0.124524912953,0.124524912953,0,0.3680419300227338,,-0.0238789173005,-0.00457902501533,-4.87931182661e-05,dynare
phi_pi_1p4,phi_pi,x,e_x,0.39724607492299996,0.39724607492299996,0.39724607492299996,0,0.5981884304216432,1.0,-0.0197041091701,-0.0037784631379699997,-4.02625008901e-05,dynare
phi_pi_1p5,phi_pi,i,e_i,0.0480528587096,0.0480528587096,0.0480528587096,0,0.1413334206120011,,0.009122734773050001,0.00173193212588,1.79534067925e-05,dynare
phi_pi_1p5,phi_pi,i,e_pi,0.0193507776382,0.0193507776382,0.0193507776382,0,0.05691464917068279,,0.0036737046824199997,0.000697445154195,7.22979635378e-06,dynare
phi_pi_1p5,phi_pi,i,e_x,0.015135987322300001,0.015135987322300001,0.015135987322300001,0,0.04451807696862904,,0.00287353555183,0.000545534717481,5.65507536701e-06,dynare
phi_pi_1p5,phi_pi,pi,e_i,-0.0938830323016,-0.0938830323016,0.0938830323016,0,0.2761294634476452,,-0.017823497423,-0.0033837537263,-3.50763787021e-05,dynare
phi_pi_1p5,phi_pi,pi,e_pi,0.239193514999,0.239193514999,0.239193514999,0,0.31258374107821046,1.0,-0.0071774821442,-0.00136262998078,-1.4125178456499999e-05,dynare
phi_pi_1p5,phi_pi,pi,e_x,0.0204281404925,0.0204281404925,0.0204281404925,0,0.0778332511441195,1.0,-0.00561415570846,-0.00106583572504,-1.10485752066e-05,dynare
phi_pi_1p5,phi_pi,x,e_i,-0.323682832042,-0.323682832042,0.323682832042,0,0.9520183205407838,,-0.0614505090145,-0.0116662506761,-0.00012093369076100001,dynare
phi_pi_1p5,phi_pi,x,e_pi,-0.130346345178,-0.130346345178,0.130346345178,0,0.38337562681904447,,-0.0247459811471,-0.00469797279009,-4.86997240481e-05,dynare
phi_pi_1p5,phi_pi,x,e_x,0.398044375012,0.398044375012,0.398044375012,0,0.5959613823123437,1.0,-0.0193560622691,-0.00367470795855,-3.80924435996e-05,dynare
phi_pi_1p6,phi_pi,i,e_i,0.047934510067900005,0.047934510067900005,0.047934510067900005,0,0.1403159095113786,,0.009010945567550001,0.00169391822106,1.70894521908e-05,dynare
phi_pi_1p6,phi_pi,i,e_pi,0.0205899935013,0.0205899935013,0.0205899935013,0,0.060271893065795806,,0.0038705999167200004,0.000727612843314,7.34067604011e-06,dynare
phi_pi_1p6,phi_pi,i,e_x,0.015330996966300001,0.015330996966300001,0.015330996966300001,0,0.0448775377069832,,0.0028819900102,0.000541769490735,5.46575607682e-06,dynare
phi_pi_1p6,phi_pi,pi,e_i,-0.0913769568503,-0.0913769568503,0.0913769568503,0,0.267482462857565,,-0.0171774528026,-0.00322909511277,-3.25774089111e-05,dynare
phi_pi_1p6,phi_pi,pi,e_pi,0.23774955298300002,0.23774955298300002,0.23774955298300002,0,0.31339466167613006,1.0,-0.00737847619751,-0.0013870392603000002,-1.39934388986e-05,dynare
phi_pi_1p6,phi_pi,pi,e_x,0.020774712283999998,0.020774712283999998,0.020774712283999998,0,0.07709891325141871,1.0,-0.00549390150085,-0.0010327684023,-1.0419302429e-05,dynare
phi_pi_1p6,phi_pi,x,e_i,-0.31651716971599997,-0.31651716971599997,0.31651716971599997,0,0.92652234228993,,-0.0595003262465,-0.011185139898199999,-0.000112843649216,dynare
