scenario,source,variable,shock,horizon,response
baseline,dynare,x,e_x,0,0.00399727838858
baseline,dynare,x,e_x,1,-0.000657862568214
baseline,dynare,x,e_x,2,-0.000431608488068
baseline,dynare,x,e_x,3,-0.000283168394089
baseline,dynare,x,e_x,4,-0.000185780265281
baseline,dynare,x,e_x,5,-0.000121886155688
baseline,dynare,x,e_x,6,-7.99667011239e-05
baseline,dynare,x,e_x,7,-5.24643119027e-05
baseline,dynare,x,e_x,8,-3.44206273953e-05
baseline,dynare,x,e_x,9,-2.25825813266e-05
baseline,dynare,x,e_x,10,-1.48159117937e-05
baseline,dynare,x,e_x,11,-9.72037868944e-06
baseline,dynare,x,e_x,12,-6.37731671067e-06
baseline,dynare,x,e_x,13,-4.1840106983e-06
baseline,dynare,x,e_x,14,-2.74503310997e-06
baseline,dynare,x,e_x,15,-1.80095303721e-06
baseline,dynare,x,e_x,16,-1.18156383267e-06
baseline,dynare,x,e_x,17,-7.75196832918e-07
baseline,dynare,x,e_x,18,-5.08588798294e-07
baseline,dynare,x,e_x,19,-3.33673403665e-07
baseline,dynare,x,e_pi,0,-0.0014402053367
baseline,dynare,x,e_pi,1,-0.000944885570198
baseline,dynare,x,e_pi,2,-0.000619917672862
baseline,dynare,x,e_pi,3,-0.000406713715658
baseline,dynare,x,e_pi,4,-0.000266835506948
baseline,dynare,x,e_pi,5,-0.000175064633985
baseline,dynare,x,e_pi,6,-0.000114855876651
baseline,dynare,x,e_pi,7,-7.53542968735e-05
baseline,dynare,x,e_pi,8,-4.94382196441e-05
baseline,dynare,x,e_pi,9,-3.24352779203e-05
baseline,dynare,x,e_pi,10,-2.12800392356e-05
baseline,dynare,x,e_pi,11,-1.39613439102e-05
baseline,dynare,x,e_pi,12,-9.15971637184e-06
baseline,dynare,x,e_pi,13,-6.00947906964e-06
baseline,dynare,x,e_pi,14,-3.94268088906e-06
baseline,dynare,x,e_pi,15,-2.58670217714e-06
baseline,dynare,x,e_pi,16,-1.6970757567e-06
baseline,dynare,x,e_pi,17,-1.11341234002e-06
baseline,dynare,x,e_pi,18,-7.30484207328e-07
baseline,dynare,x,e_pi,19,-4.79253873857e-07
baseline,dynare,x,e_i,0,-0.00306547961982
baseline,dynare,x,e_i,1,-0.00201119061616
baseline,dynare,x,e_i,2,-0.00131949586889
baseline,dynare,x,e_i,3,-0.000865690866909
baseline,dynare,x,e_i,4,-0.000567959850969
baseline,dynare,x,e_i,5,-0.000372625384699
baseline,dynare,x,e_i,6,-0.000244470937665
baseline,dynare,x,e_i,7,-0.000160391754874
baseline,dynare,x,e_i,8,-0.000105229338413
baseline,dynare,x,e_i,9,-6.90385467228e-05
baseline,dynare,x,e_i,10,-4.52946013486e-05
baseline,dynare,x,e_i,11,-2.9716745336e-05
baseline,dynare,x,e_i,12,-1.94964725833e-05
baseline,dynare,x,e_i,13,-1.27911868845e-05
baseline,dynare,x,e_i,14,-8.39200328239e-06
baseline,dynare,x,e_i,15,-5.50580018317e-06
baseline,dynare,x,e_i,16,-3.61222876552e-06
baseline,dynare,x,e_i,17,-2.36990014537e-06
baseline,dynare,x,e_i,18,-1.55483693409e-06
baseline,dynare,x,e_i,19,-1.02009272261e-06
baseline,dynare,pi,e_x,0,0.000212484029619
baseline,dynare,pi,e_x,1,-0.000188632610012
baseline,dynare,pi,e_x,2,-0.00012375751341
baseline,dynare,pi,e_x,3,-8.11944558494e-05
baseline,dynare,pi,e_x,4,-5.32698135171e-05
baseline,dynare,pi,e_x,5,-3.49490984632e-05
baseline,dynare,pi,e_x,6,-2.29292990297e-05
baseline,dynare,pi,e_x,7,-1.50433852979e-05
baseline,dynare,pi,e_x,8,-9.86961881941e-06
baseline,dynare,pi,e_x,9,-6.47522972468e-06
baseline,dynare,pi,e_x,10,-4.248249173e-06
baseline,dynare,pi,e_x,11,-2.78717849455e-06
baseline,dynare,pi,e_x,12,-1.82860365391e-06
baseline,dynare,pi,e_x,13,-1.19970476582e-06
baseline,dynare,pi,e_x,14,-7.8709868158e-07
baseline,dynare,pi,e_x,15,-5.1639732724e-07
baseline,dynare,pi,e_x,16,-3.38796399767e-07
baseline,dynare,pi,e_x,17,-2.22276519339e-07
baseline,dynare,pi,e_x,18,-1.45830507891e-07
baseline,dynare,pi,e_x,19,-9.56760394437e-08
baseline,dynare,pi,e_pi,0,0.00235704187662
baseline,dynare,pi,e_pi,1,-0.000270932319121
baseline,dynare,pi,e_pi,2,-0.000177752458149
baseline,dynare,pi,e_pi,3,-0.000116619296216
baseline,dynare,pi,e_pi,4,-7.6511235859e-05
baseline,dynare,pi,e_pi,5,-5.01972606816e-05
baseline,dynare,pi,e_pi,6,-3.29332672731e-05
baseline,dynare,pi,e_pi,7,-2.16067585871e-05
baseline,dynare,pi,e_pi,8,-1.41756969562e-05
baseline,dynare,pi,e_pi,9,-9.30034847122e-06
baseline,dynare,pi,e_pi,10,-6.10174455292e-06
baseline,dynare,pi,e_pi,11,-4.00321414883e-06
baseline,dynare,pi,e_pi,12,-2.6264166555e-06
baseline,dynare,pi,e_pi,13,-1.72313151179e-06
baseline,dynare,pi,e_pi,14,-1.13050692117e-06
baseline,dynare,pi,e_pi,15,-7.41699568532e-07
baseline,dynare,pi,e_pi,16,-4.86612014184e-07
baseline,dynare,pi,e_pi,17,-3.19254941481e-07
baseline,dynare,pi,e_pi,18,-2.09455818371e-07
baseline,dynare,pi,e_pi,19,-1.37419141097e-07
baseline,dynare,pi,e_i,0,-0.000878982099856
baseline,dynare,pi,e_i,1,-0.000576679922963
baseline,dynare,pi,e_i,2,-0.000378346423212
baseline,dynare,pi,e_i,3,-0.000248224379344
baseline,dynare,pi,e_i,4,-0.000162854301562
baseline,dynare,pi,e_i,5,-0.000106844958611
baseline,dynare,pi,e_i,6,-7.00985179457e-05
baseline,dynare,pi,e_i,7,-4.59900240691e-05
baseline,dynare,pi,e_i,8,-3.01729961754e-05
baseline,dynare,pi,e_i,9,-1.97958082569e-05
baseline,dynare,pi,e_i,10,-1.29875741297e-05
baseline,dynare,pi,e_i,11,-8.52084843345e-06
baseline,dynare,pi,e_i,12,-5.59033252097e-06
baseline,dynare,pi,e_i,13,-3.66768848656e-06
