scenario,variable,mean,std_dev,variance,autocorrelation_1,source
baseline,x,0.0,0.00607278472713,3.6878714342e-05,0.300516547003,dynare
baseline,pi,0.0,0.00267369452629,7.14864241989e-06,0.0471175130943,dynare
baseline,i,0.00741707177773,0.000729213994176,5.31753049302e-07,0.65607698161,dynare
rstar_2,x,0.0,0.0060706204889,3.68524331203e-05,0.300054761563,dynare
rstar_2,pi,0.0,0.00267398093787,7.1501740561e-06,0.0475962431238,dynare
rstar_2,i,0.0049629315732,0.00072838007126,5.30537528209e-07,0.655649331912,dynare
rstar_3,x,0.0,0.00607278472713,3.6878714342e-05,0.300516547003,dynare
rstar_3,pi,0.0,0.00267369452629,7.14864241989e-06,0.0471175130943,dynare
rstar_3,i,0.00741707177773,0.000729213994176,5.31753049302e-07,0.65607698161,dynare
rstar_4,x,0.0,0.00607491822793,3.6904631476e-05,0.300971584118,dynare
rstar_4,pi,0.0,0.00267341604754,7.14715336327e-06,0.0466468690188,dynare
rstar_4,i,0.00985340654897,0.000730036731814,5.32953629798e-07,0.656498276888,dynare
kappa_0p07,x,0.0,0.00627201441217,3.93381647864e-05,0.331617880868,dynare
kappa_0p07,pi,0.0,0.0026513307562,7.0295547788e-06,0.0184948369854,dynare
kappa_0p07,i,0.00741707177773,0.000787951765103,6.20867984129e-07,0.686861012035,dynare
kappa_0p10,x,0.0,0.00607278472713,3.6878714342e-05,0.300516547003,dynare
kappa_0p10,pi,0.0,0.00267369452629,7.14864241989e-06,0.0471175130943,dynare
kappa_0p10,i,0.00741707177773,0.000729213994176,5.31753049302e-07,0.65607698161,dynare
kappa_0p13,x,0.0,0.00590100946598,3.48219127176e-05,0.274442862466,dynare
kappa_0p13,pi,0.0,0.00271007325598,7.3444970528e-06,0.0737791045025,dynare
kappa_0p13,i,0.00741707177773,0.000685029845843,4.69265889695e-07,0.630072502944,dynare
phi_pi_1p3,x,0.0,0.00629639882313,3.96446381399e-05,0.331784242927,dynare
phi_pi_1p3,pi,0.0,0.00280038195835,7.84213911265e-06,0.0873138418449,dynare
phi_pi_1p3,i,0.00741707177773,0.000711481714913,5.06206230656e-07,0.663430939068,dynare
phi_pi_1p4,x,0.0,0.00623620470891,3.88902491714e-05,0.323773103066,dynare
phi_pi_1p4,pi,0.0,0.00276864961892,7.66542071234e-06,0.0774808384699,dynare
phi_pi_1p4,i,0.00741707177773,0.000714769906449,5.10896019166e-07,0.661743365972,dynare
phi_pi_1p5,x,0.0,0.00618259494913,3.8224480305e-05,0.316401798767,dynare
phi_pi_1p5,pi,0.0,0.0027391527405,7.50295773579e-06,0.0681959277424,dynare
phi_pi_1p5,i,0.00741707177773,0.000718444800921,5.1616293197e-07,0.660087418222,dynare
phi_pi_1p6,x,0.0,0.0061348329497,3.76361753207e-05,0.309630803118,dynare
phi_pi_1p6,pi,0.0,0.00271165123041,7.3530523954e-06,0.0594175033353,dynare
phi_pi_1p6,i,0.00741707177773,0.00072248949254,5.21991066831e-07,0.65846169914,dynare
phi_pi_1p7,x,0.0,0.00609228187783,3.7115898479e-05,0.30342183305,dynare
phi_pi_1p7,pi,0.0,0.00268593782429,7.21426199596e-06,0.0511076501736,dynare
phi_pi_1p7,i,0.00741707177773,0.0007268875114,5.2836545423e-07,0.656864909514,dynare
phi_pi_1p8,x,0.0,0.0060543887409,3.6655623026e-05,0.297738097013,dynare
phi_pi_1p8,pi,0.0,0.00266183272774,7.08535347046e-06,0.0432317990763,dynare
phi_pi_1p8,i,0.00741707177773,0.000731622836779,5.35271975297e-07,0.655295838407,dynare
phi_pi_1p9,x,0.0,0.0060206713856,3.62484839334e-05,0.292544459441,dynare
phi_pi_1p9,pi,0.0,0.00263917926469,6.96526719115e-06,0.0357584101205,dynare
phi_pi_1p9,i,0.00741707177773,0.000736679909522,5.42697289093e-07,0.65375335504,dynare
phi_pi_2p0,x,0.0,0.00599070781376,3.58885801098e-05,0.287807539633,dynare
phi_pi_2p0,pi,0.0,0.00261784032002,6.85308794113e-06,0.0286586840692,dynare
phi_pi_2p0,i,0.00741707177773,0.00074204364289,5.50628767953e-07,0.652236401606,dynare
phi_pi_2p1,x,0.0,0.00596412734947,3.55708150407e-05,0.283495759538,dynare
phi_pi_2p1,pi,0.0,0.00259769541342,6.7480214609e-06,0.0219063005294,dynare
phi_pi_2p1,i,0.00741707177773,0.000747699431458,5.59054439803e-07,0.650743986899,dynare
phi_pi_2p2,x,0.0,0.00594060329607,3.52907675213e-05,0.279579352321,dynare
phi_pi_2p2,pi,0.0,0.00257863827839,6.64937537079e-06,0.0154771811231,dynare
phi_pi_2p2,i,0.00741707177773,0.000753633157816,5.67962936559e-07,0.649275180624,dynare
rho_calibrated_0p80,x,0.0,0.00464411887642,2.15678401383e-05,0.0739268550083,dynare
rho_calibrated_0p80,pi,0.0,0.00242922985106,5.90115766928e-06,-0.0722504432022,dynare
rho_calibrated_0p80,i,0.00741707177773,0.00107770460042,1.16144720577e-06,0.534559498404,dynare
fevd_didactic_benchmark,x,0.0,0.00669017870787,4.47584911432e-05,0.36311331451,dynare
fevd_didactic_benchmark,pi,0.0,0.0031769507288,1.00930159332e-05,0.0437747919267,dynare
fevd_didactic_benchmark,i,0.00741707177773,0.000850311593791,7.23029806536e-07,0.65607698161,dynare
