horizon,variable,svar_response,svar_lower_90,svar_upper_90,dsge_response,normalization,ordering
0,x,0.0,0.0,0.0,-0.40114914891807424,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
1,x,0.1242225714776256,-0.06509502598566357,-0.06509502598566357,-0.26318472279779004,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
2,x,0.1478130659247339,-0.061960771716115665,-0.061960771716115665,-0.17266943853869723,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
3,x,0.23111002115982193,0.17716011877744964,0.17716011877744964,-0.11328444405286454,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
4,x,0.23664505718246776,0.3490555936423452,0.3490555936423452,-0.07432331611757015,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
5,x,0.15759957166982508,0.3246692522881123,0.3246692522881123,-0.048761816901608045,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
6,x,0.06915414089773018,0.14672760783123448,0.14672760783123448,-0.03199150565068079,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
7,x,-0.008106619191729699,-0.05451168703710026,-0.05451168703710026,-0.020988890464376825,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
8,x,-0.07379459290949582,-0.18512963989368061,-0.18512963989368061,-0.013770327903228933,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
9,x,-0.11267304848875212,-0.2056131332300803,-0.2056131332300803,-0.009034395166528009,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
10,x,-0.12184641244510565,-0.13826943326390617,-0.13826943326390617,-0.005927258711523014,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
11,x,-0.10423786002595359,-0.03600185606633952,-0.03600185606633952,-0.0038887380046752763,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
12,x,-0.0759971267809968,0.04191200594190856,0.04191200594190856,-0.0025513114923773656,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
13,x,-0.044824432839807415,0.06956764443063314,0.06956764443063314,-0.0016738567430666863,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
